Roll(deg),Pitch(deg),Yaw(deg),Alpha_P(deg),Alpha_Y(deg)
0.000000,2.131447,2.131447,101.808000,101.808000
0.000000,2.137910,2.137910,101.790000,101.790000
0.000000,2.144377,2.144377,101.772000,101.772000
0.000000,2.150848,2.150848,101.754000,101.754000
0.000000,2.157323,2.157323,101.736000,101.736000
0.000000,2.163801,2.163801,101.718000,101.718000
0.000000,2.170283,2.170283,101.700000,101.700000
0.000000,2.176768,2.176768,101.682000,101.682000
0.000000,2.183258,2.183258,101.664000,101.664000
0.000000,2.189751,2.189751,101.646000,101.646000
0.000000,2.196248,2.196248,101.628000,101.628000
0.000000,2.202748,2.202748,101.610000,101.610000
0.000000,2.209252,2.209252,101.592000,101.592000
0.000000,2.215760,2.215760,101.574000,101.574000
0.000000,2.222272,2.222272,101.556000,101.556000
0.000000,2.228787,2.228787,101.538000,101.538000
0.000000,2.235307,2.235307,101.520000,101.520000
0.000000,2.241829,2.241829,101.502000,101.502000
0.000000,2.248356,2.248356,101.484000,101.484000
0.000000,2.254886,2.254886,101.466000,101.466000
0.000000,2.261420,2.261420,101.448000,101.448000
0.000000,2.267958,2.267958,101.430000,101.430000
0.000000,2.274499,2.274499,101.412000,101.412000
0.000000,2.281044,2.281044,101.394000,101.394000
0.000000,2.287593,2.287593,101.376000,101.376000
0.000000,2.294145,2.294145,101.358000,101.358000
0.000000,2.300701,2.300701,101.340000,101.340000
0.000000,2.307261,2.307261,101.322000,101.322000
0.000000,2.313825,2.313825,101.304000,101.304000
0.000000,2.320392,2.320392,101.286000,101.286000
0.000000,2.326963,2.326963,101.268000,101.268000
0.000000,2.333537,2.333537,101.250000,101.250000
0.000000,2.340116,2.340116,101.232000,101.232000
0.000000,2.346698,2.346698,101.214000,101.214000
0.000000,2.353284,2.353284,101.196000,101.196000
0.000000,2.359873,2.359873,101.178000,101.178000
0.000000,2.366466,2.366466,101.160000,101.160000
0.000000,2.373063,2.373063,101.142000,101.142000
0.000000,2.379664,2.379664,101.124000,101.124000
0.000000,2.386268,2.386268,101.106000,101.106000
0.000000,2.392876,2.392876,101.088000,101.088000
0.000000,2.399487,2.399487,101.070000,101.070000
0.000000,2.406102,2.406102,101.052000,101.052000
